SE200000 Nguyen Van A ANVSE200000 1 0 0
SE200001 Nguyen Van B BNVSE200001 0 0 1
SE200002 Nguyen Van C CNVSE200002 1 0 1
SE200003 Nguyen Van D DNVSE200003 0 0 1
SE200004 Nguyen Van E ENVSE200004 1 0 1
SE200005 Nguyen Van F FNVSE200005 0 0 0
SE200006 Nguyen Van G GNVSE200006 1 0 1
SE200007 Nguyen Van H HNVSE200007 0 0 1
SE200008 Nguyen Van I INVSE200008 1 0 1
SE200009 Nguyen Van J JNVSE200009 0 0 1
SE200010 Nguyen Van K KNVSE200010 1 0 0
SE200011 Nguyen Van L LNVSE200011 0 0 1
SE200012 Nguyen Van M MNVSE200012 1 0 1
SE200013 Nguyen Van N NNVSE200013 0 0 1
SE200014 Nguyen Van O ONVSE200014 1 0 1
SE200015 Nguyen Van P PNVSE200015 0 0 0
SE200016 Nguyen Van Q QNVSE200016 1 0 1
SE200017 Nguyen Van R RNVSE200017 0 0 1
SE200018 Nguyen Van S SNVSE200018 1 0 1
SE200019 Nguyen Van T TNVSE200019 0 0 1
SE200020 Nguyen Van U UNVSE200020 1 0 0
SE200021 Nguyen Van V VNVSE200021 0 0 1
SE200022 Nguyen Van W WNVSE200022 1 0 1
SE200023 Nguyen Van X XNVSE200023 0 0 1
SE200024 Nguyen Van Y YNVSE200024 1 0 1
SE200025 Nguyen Van Z ZNVSE200025 0 0 0
SE200026 Nguyen Van AA AANVSE200026 1 0 1
SE200027 Nguyen Van AB ABNVSE200027 0 0 1
SE200028 Nguyen Van AC ACNVSE200028 1 0 1
SE200029 Nguyen Van AD ADNVSE200029 0 0 1
SE200030 Nguyen Van AE AENVSE200030 1 0 0
SE200031 Nguyen Van AF AFNVSE200031 0 0 1
SE200032 Nguyen Van AG AGNVSE200032 1 0 1
SE200033 Nguyen Van AH AHNVSE200033 0 0 1
SE200034 Nguyen Van AI AINVSE200034 1 0 1
SE200035 Nguyen Van AJ AJNVSE200035 0 0 0
SE200036 Nguyen Van AK AKNVSE200036 1 0 1
SE200037 Nguyen Van AL ALNVSE200037 0 0 1
SE200038 Nguyen Van AM AMNVSE200038 1 0 1
SE200039 Nguyen Van AN ANNVSE200039 0 0 1
SE200040 Nguyen Van AO AONVSE200040 1 0 0
SE200041 Nguyen Van AP APNVSE200041 0 0 1
SE200042 Nguyen Van AQ AQNVSE200042 1 0 1
SE200043 Nguyen Van AR ARNVSE200043 0 0 1
SE200044 Nguyen Van AS ASNVSE200044 1 0 1
SE200045 Nguyen Van AT ATNVSE200045 0 0 0
SE200046 Nguyen Van AU AUNVSE200046 1 0 1
SE200047 Nguyen Van AV AVNVSE200047 0 0 1
SE200048 Nguyen Van AW AWNVSE200048 1 0 1
SE200049 Nguyen Van AX AXNVSE200049 0 0 1
SE200050 Nguyen Van AY AYNVSE200050 1 0 0
SE200051 Nguyen Van AZ AZNVSE200051 0 0 1
SE200052 Nguyen Van BA BANVSE200052 1 0 1
SE200053 Nguyen Van BB BBNVSE200053 0 0 1
SE200054 Nguyen Van BC BCNVSE200054 1 0 1
SE200055 Nguyen Van BD BDNVSE200055 0 0 0
SE200056 Nguyen Van BE BENVSE200056 1 0 1
SE200057 Nguyen Van BF BFNVSE200057 0 0 1
SE200058 Nguyen Van BG BGNVSE200058 1 0 1
SE200059 Nguyen Van BH BHNVSE200059 0 0 1
SE200060 Nguyen Van BI BINVSE200060 1 0 0
SE200061 Nguyen Van BJ BJNVSE200061 0 0 1
SE200062 Nguyen Van BK BKNVSE200062 1 0 1
SE200063 Nguyen Van BL BLNVSE200063 0 0 1
SE200064 Nguyen Van BM BMNVSE200064 1 0 1
SE200065 Nguyen Van BN BNNVSE200065 0 0 0
SE200066 Nguyen Van BO BONVSE200066 1 0 1
SE200067 Nguyen Van BP BPNVSE200067 0 0 1
SE200068 Nguyen Van BQ BQNVSE200068 1 0 1
SE200069 Nguyen Van BR BRNVSE200069 0 0 1
SE200070 Nguyen Van BS BSNVSE200070 1 0 0
SE200071 Nguyen Van BT BTNVSE200071 0 0 1
SE200072 Nguyen Van BU BUNVSE200072 1 0 1
SE200073 Nguyen Van BV BVNVSE200073 0 0 1
SE200074 Nguyen Van BW BWNVSE200074 1 0 1
SE200075 Nguyen Van BX BXNVSE200075 0 0 0
SE200076 Nguyen Van BY BYNVSE200076 1 0 1
SE200077 Nguyen Van BZ BZNVSE200077 0 0 1
SE200078 Nguyen Van CA CANVSE200078 1 0 1
SE200079 Nguyen Van CB CBNVSE200079 0 0 1
SE200080 Nguyen Van CC CCNVSE200080 1 0 0
SE200081 Nguyen Van CD CDNVSE200081 0 0 1
